2012-01-15T16:22:29.036+00:00|26388279068088|4743|2004
2012-11-23T23:42:52.624+00:00|37383395351977|2234|2005
2011-12-27T18:11:43.460+00:00|24189255814529|1596|2011
2010-04-09T08:27:26.656+00:00|2199023262081|3009|2002
2010-05-16T02:17:28.216+00:00|4398046515698|6435|2007
2012-01-23T22:13:05.180+00:00|26388279069930|4750|2003
2010-12-24T11:21:26.087+00:00|10995116284222|1811|2002
2011-05-26T11:12:24.438+00:00|17592186050406|2488|2009
2010-08-24T04:00:31.014+00:00|6597069770685|3009|2004
2010-01-08T18:59:33.814+00:00|4926|5800|2003
2011-06-23T09:40:56.883+00:00|17592186045246|3014|2000
2012-08-25T12:14:36.192+00:00|32985348833489|2209|2009
2012-11-28T21:32:57.484+00:00|37383395345094|6441|2005
2012-10-24T20:38:54.965+00:00|35184372093599|7901|2009
2012-03-19T01:34:19.487+00:00|28587302328833|3015|2003
2010-03-03T07:19:46.423+00:00|5928|5805|1998
2012-04-08T20:52:10.440+00:00|28587302324608|6389|2001
2011-09-04T16:54:08.264+00:00|19791209306910|5192|2002
2010-02-11T17:25:18.929+00:00|7456|3007|2008
2011-11-04T11:11:04.545+00:00|21990232560372|1957|2009
2011-08-22T14:23:31.442+00:00|19791209307484|5269|2003
2010-02-25T02:21:26.933+00:00|2117|3009|2009
2010-05-16T07:29:15.912+00:00|4398046515793|6666|2002
2010-03-16T21:34:41.286+00:00|2199023260753|4632|2001
2011-10-03T20:04:02.313+00:00|21990232557172|6149|2004
2011-12-10T03:53:19.358+00:00|24189255817051|7873|2010
2010-12-04T05:26:59.548+00:00|10995116285009|5264|2004
2010-01-10T18:06:33.250+00:00|6987|5043|2009
2012-02-18T06:28:13.394+00:00|26388279067467|6350|2005
2011-09-01T19:19:05.547+00:00|19791209300084|3010|2001
2011-05-14T13:08:17.526+00:00|17592186046033|5542|2007
2010-07-06T04:26:53.479+00:00|6597069773597|2832|2003
2012-05-09T22:55:31.618+00:00|30786325581428|2205|2003
2011-05-26T09:12:25.594+00:00|17592186050244|3006|2003
2010-01-16T15:09:46.505+00:00|3903|2212|2003
2011-03-16T06:40:34.308+00:00|15393162790677|3015|2008
2010-05-01T04:08:32.781+00:00|2199023258389|2207|2002
2012-10-19T09:11:47.685+00:00|35184372092192|6424|2002
2012-06-01T08:33:42.702+00:00|30786325579256|3060|2006
2011-05-02T20:03:10.167+00:00|15393162793757|2211|2006
2012-09-26T03:24:04.576+00:00|35184372089794|2279|2007
2012-10-03T23:16:30.258+00:00|35184372092753|3006|2007
2011-08-24T21:37:31.405+00:00|19791209302394|5803|2004
2010-04-18T23:43:56.738+00:00|2199023258256|5986|2003
2011-10-28T14:42:54.062+00:00|21990232563358|4518|1999
2012-03-24T12:54:07.975+00:00|28587302330034|3010|1998
2012-02-11T12:48:41.399+00:00|26388279070864|3014|2003
2010-07-22T06:35:07.111+00:00|6597069773579|5044|2005
