2012-01-15T16:22:29.036+00:00|26388279068088|677
2012-11-23T23:42:52.624+00:00|37383395351977|343
2011-12-27T18:11:43.460+00:00|24189255814529|966
2010-04-09T08:27:26.656+00:00|2199023262081|134
2010-05-16T02:17:28.216+00:00|4398046515698|1299
2012-01-23T22:13:05.180+00:00|26388279069930|693
2010-12-24T11:21:26.087+00:00|10995116284222|1003
2011-05-26T11:12:24.438+00:00|17592186050406|1097
2010-08-24T04:00:31.014+00:00|6597069770685|214
2010-01-08T18:59:33.814+00:00|4926|1283
2011-06-23T09:40:56.883+00:00|17592186045246|267
2011-04-20T23:04:11.767+00:00|15393162795784|1071
2012-05-25T16:36:40.480+00:00|30786325582629|1209
2012-08-25T12:14:36.192+00:00|32985348833489|475
2012-11-28T21:32:57.484+00:00|37383395345094|1301
2012-10-24T20:38:54.965+00:00|35184372093599|945
2012-03-19T01:34:19.487+00:00|28587302328833|284
2010-03-03T07:19:46.423+00:00|5928|1279
2012-04-08T20:52:10.440+00:00|28587302324608|550
2011-09-04T16:54:08.264+00:00|19791209306910|1256
2011-06-08T20:08:14.780+00:00|17592186044544|126
2010-02-11T17:25:18.929+00:00|7456|289
2011-11-04T11:11:04.545+00:00|21990232560372|1017
2011-08-22T14:23:31.442+00:00|19791209307484|789
2010-02-25T02:21:26.933+00:00|2117|196
2010-05-16T07:29:15.912+00:00|4398046515793|1422
2010-03-16T21:34:41.286+00:00|2199023260753|1163
2011-10-03T20:04:02.313+00:00|21990232557172|1322
2011-12-10T03:53:19.358+00:00|24189255817051|1427
2010-12-04T05:26:59.548+00:00|10995116285009|773
2010-01-10T18:06:33.250+00:00|6987|730
2012-02-18T06:28:13.394+00:00|26388279067467|442
2011-09-01T19:19:05.547+00:00|19791209300084|265
2011-05-14T13:08:17.526+00:00|17592186046033|795
2010-07-06T04:26:53.479+00:00|6597069773597|599
2010-05-11T23:29:14.896+00:00|4398046513983|1381
2012-05-09T22:55:31.618+00:00|30786325581428|484
2011-05-26T09:12:25.594+00:00|17592186050244|124
2010-01-16T15:09:46.505+00:00|3903|448
2011-03-16T06:40:34.308+00:00|15393162790677|128
2010-05-01T04:08:32.781+00:00|2199023258389|451
2012-10-19T09:11:47.685+00:00|35184372092192|1325
2012-10-16T02:13:10.482+00:00|35184372092497|796
2012-06-01T08:33:42.702+00:00|30786325579256|219
2011-05-02T20:03:10.167+00:00|15393162793757|349
2012-09-26T03:24:04.576+00:00|35184372089794|422
2010-04-13T13:46:23.655+00:00|2199023260289|1318
2012-10-03T23:16:30.258+00:00|35184372092753|256
2011-08-24T21:37:31.405+00:00|19791209302394|1284
2010-04-18T23:43:56.738+00:00|2199023258256|853
2011-10-28T14:42:54.062+00:00|21990232563358|650
2012-03-24T12:54:07.975+00:00|28587302330034|212
2012-02-11T12:48:41.399+00:00|26388279070864|162
2010-07-22T06:35:07.111+00:00|6597069773579|746
2011-05-05T11:47:36.666+00:00|15393162789422|1317
2012-06-12T18:38:49.209+00:00|30786325579742|753
